Created Date,Descriptor,Incident Zip,City,Community Board,Borough
2/24/12,Taste/Odor: Chemical (QA2),11201,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
2/24/12,Taste/Odor: Bitter/Metallic (QA3),10026,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
2/25/12,Cloudy Or Milky Water (QB1),10457,City-BRONX,06 BRONX,Borough-BRONX
2/25/12,Cloudy Or Milky Water (QB1),11412,City-Saint Albans,12 QUEENS,Borough-QUEENS
2/27/12,Cloudy Or Milky Water (QB1),10451,City-BRONX,04 BRONX,Borough-BRONX
2/27/12,Other Water Problem (Use Comments) (QZZ),11412,City-Saint Albans,12 QUEENS,Borough-QUEENS
2/27/12,Taste/Odor: Chemical (QA2),11373,City-Elmhurst,04 QUEENS,Borough-QUEENS
2/27/12,Taste/Odor: Chlorine (QA1),11235,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
2/27/12,Clear Water With Other Particles (Use Comments) (QEZ),11412,City-Saint Albans,12 QUEENS,Borough-QUEENS
2/27/12,Cloudy Or Milky Water (QB1),10021,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
2/27/12,Taste/Odor: Chlorine (QA1),10030,City-NEW YORK,09 MANHATTAN,Borough-MANHATTAN
2/27/12,Defective Water Sampling Station (QSS),11432,City-Jamaica,08 QUEENS,Borough-QUEENS
2/28/12,Other Water Problem (Use Comments) (QZZ),10308,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/31/12,Cloudy Or Milky Water (QB1),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
5/31/12,Cloudy Or Milky Water (QB1),10456,City-BRONX,04 BRONX,Borough-BRONX
5/31/12,Cloudy Or Milky Water (QB1),10026,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
5/31/12,Cloudy Or Milky Water (QB1),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/31/12,Other Water Problem (Use Comments) (QZZ),10305,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
5/31/12,unknown odor/taste in drinking water (QA6),10462,City-BRONX,09 BRONX,Borough-BRONX
5/31/12,Taste/Odor: Sewer (QA5),11694,City-Rockaway Park,14 QUEENS,Borough-QUEENS
5/31/12,Cloudy Or Milky Water (QB1),10462,City-BRONX,09 BRONX,Borough-BRONX
5/31/12,Taste/Odor: Chemical (QA2),10003,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
5/31/12,Cloudy Or Milky: Other (Use Comments) (QBZ),10027,City-NEW YORK,09 MANHATTAN,Borough-MANHATTAN
3/3/10,Cloudy Or Milky Water (QB1),10467,City-BRONX,11 BRONX,Borough-BRONX
6/1/12,Cloudy Or Milky Water (QB1),11204,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
6/1/12,unknown odor/taste in drinking water (QA6),11211,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/1/12,Cloudy Or Milky Water (QB1),10039,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
6/1/12,Other Water Problem (Use Comments) (QZZ),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
6/1/12,Taste/Odor: Chemical (QA2),11222,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/2/12,Cloudy Or Milky Water (QB1),10463,City-BRONX,08 BRONX,Borough-BRONX
6/2/12,Cloudy Or Milky Water (QB1),10314,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
6/3/12,Taste/Odor: Musty/Stale (QA4),11215,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
6/3/12,Cloudy Or Milky Water (QB1),10467,City-BRONX,11 BRONX,Borough-BRONX
6/4/12,Cloudy Or Milky Water (QB1),11368,City-Corona,04 QUEENS,Borough-QUEENS
6/4/12,Taste/Odor: Chemical (QA2),11214,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
6/4/12,Cloudy Or Milky Water (QB1),11419,City-South Richmond Hill,09 QUEENS,Borough-QUEENS
6/5/12,unknown odor/taste in drinking water (QA6),10003,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
6/6/12,Cloudy Or Milky Water (QB1),11249,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/6/12,Taste/Odor: Chlorine (QA1),11201,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
6/6/12,Cloudy Or Milky: Other (Use Comments) (QBZ),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
6/8/12,Taste/Odor: Bitter/Metallic (QA3),11216,City-BROOKLYN,08 BROOKLYN,Borough-BROOKLYN
6/8/12,Taste/Odor: Chlorine (QA1),11211,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/8/12,Cloudy Or Milky Water (QB1),10469,City-BRONX,12 BRONX,Borough-BRONX
6/8/12,Cloudy Or Milky Water (QB1),10021,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
6/9/12,Cloudy Or Milky Water (QB1),10037,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
6/11/12,Cloudy Or Milky Water (QB1),11692,City-Arverne,14 QUEENS,Borough-QUEENS
6/11/12,unknown odor/taste in drinking water (QA6),11426,City-Bellerose,13 QUEENS,Borough-QUEENS
6/11/12,Taste/Odor: Chemical (QA2),11223,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
6/11/12,Taste/Odor: Chlorine (QA1),11206,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/12/12,unknown odor/taste in drinking water (QA6),11219,City-BROOKLYN,12 BROOKLYN,Borough-BROOKLYN
6/12/12,Taste/Odor: Chlorine (QA1),10002,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
6/12/12,unknown odor/taste in drinking water (QA6),11420,City-South Ozone Park,10 QUEENS,Borough-QUEENS
6/12/12,Cloudy Or Milky Water (QB1),10470,City-BRONX,12 BRONX,Borough-BRONX
6/13/12,unknown odor/taste in drinking water (QA6),10027,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
6/13/12,Cloudy Or Milky Water (QB1),11417,City-Ozone Park,10 QUEENS,Borough-QUEENS
6/13/12,Taste/Odor: Chlorine (QA1),10019,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
6/13/12,Cloudy Or Milky Water (QB1),10457,City-BRONX,03 BRONX,Borough-BRONX
6/13/12,Taste/Odor: Sewer (QA5),11374,City-Rego Park,06 QUEENS,Borough-QUEENS
6/14/12,Cloudy Or Milky Water (QB1),11214,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
6/14/12,Cloudy Or Milky Water (QB1),11366,City-Fresh Meadows,08 QUEENS,Borough-QUEENS
6/14/12,Cloudy Or Milky Water (QB1),10312,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
6/15/12,Cloudy Or Milky Water (QB1),10308,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
6/15/12,Taste/Odor: Chlorine (QA1),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
6/18/12,Cloudy Or Milky Water (QB1),11210,City-BROOKLYN,17 BROOKLYN,Borough-BROOKLYN
6/19/12,Taste/Odor: Sewer (QA5),10453,City-BRONX,05 BRONX,Borough-BRONX
6/19/12,unknown odor/taste in drinking water (QA6),11225,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
6/19/12,Taste/Odor: Chlorine (QA1),10467,City-BRONX,11 BRONX,Borough-BRONX
6/20/12,Taste/Odor: Musty/Stale (QA4),10314,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
6/20/12,unknown odor/taste in drinking water (QA6),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
6/20/12,Other Water Problem (Use Comments) (QZZ),11427,City-Queens Village,13 QUEENS,Borough-QUEENS
6/20/12,Cloudy Or Milky Water (QB1),10470,City-BRONX,12 BRONX,Borough-BRONX
6/20/12,Taste/Odor: Chemical (QA2),11216,City-BROOKLYN,08 BROOKLYN,Borough-BROOKLYN
6/21/12,Cloudy Or Milky Water (QB1),11214,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
6/21/12,Cloudy Or Milky Water (QB1),10010,City-NEW YORK,06 MANHATTAN,Borough-MANHATTAN
6/21/12,Taste/Odor: Bitter/Metallic (QA3),11378,City-Maspeth,05 QUEENS,Borough-QUEENS
6/22/12,Cloudy Or Milky Water (QB1),11213,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
6/22/12,Taste/Odor: Chlorine (QA1),11220,City-BROOKLYN,07 BROOKLYN,Borough-BROOKLYN
6/23/12,Cloudy Or Milky Water (QB1),10474,City-BRONX,02 BRONX,Borough-BRONX
6/25/12,Cloudy Or Milky Water (QB1),11366,City-Fresh Meadows,08 QUEENS,Borough-QUEENS
6/25/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11372,City-Jackson Heights,03 QUEENS,Borough-QUEENS
6/25/12,Clear Water With Other Particles (Use Comments) (QEZ),11201,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
6/25/12,Taste/Odor: Bitter/Metallic (QA3),10040,City-NEW YORK,12 MANHATTAN,Borough-MANHATTAN
6/25/12,Taste/Odor: Bitter/Metallic (QA3),11218,City-BROOKLYN,12 BROOKLYN,Borough-BROOKLYN
6/26/12,Cloudy Or Milky Water (QB1),10467,City-BRONX,07 BRONX,Borough-BRONX
6/27/12,Cloudy Or Milky Water (QB1),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
6/27/12,Taste/Odor: Bitter/Metallic (QA3),10036,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
6/28/12,Cloudy Or Milky Water (QB1),11219,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
6/28/12,Oil: Grease In Water (QD1),10302,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
6/28/12,Cloudy Or Milky Water (QB1),11214,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
6/29/12,Taste/Odor: Musty/Stale (QA4),11412,City-Saint Albans,12 QUEENS,Borough-QUEENS
6/29/12,Cloudy Or Milky Water (QB1),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
6/30/12,unknown odor/taste in drinking water (QA6),10470,City-BRONX,12 BRONX,Borough-BRONX
6/30/12,Taste/Odor: Chlorine (QA1),11691,City-Far Rockaway,14 QUEENS,Borough-QUEENS
7/1/12,Taste/Odor: Chemical (QA2),10460,City-BRONX,09 BRONX,Borough-BRONX
3/27/12,Taste/Odor: Chemical (QA2),10314,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
3/27/12,unknown odor/taste in drinking water (QA6),11225,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
3/28/12,Defective Water Sampling Station (QSS),11101,City-Long Island City,01 QUEENS,Borough-QUEENS
3/28/12,Cloudy Or Milky Water (QB1),10467,City-BRONX,07 BRONX,Borough-BRONX
3/30/12,Clear Water With Other Particles (Use Comments) (QEZ),10461,City-BRONX,10 BRONX,Borough-BRONX
3/30/12,Taste/Odor: Chlorine (QA1),11212,City-BROOKLYN,17 BROOKLYN,Borough-BROOKLYN
3/31/12,unknown odor/taste in drinking water (QA6),11427,City-Queens Village,11 QUEENS,Borough-QUEENS
4/2/12,Cloudy Or Milky Water (QB1),10467,City-BRONX,07 BRONX,Borough-BRONX
4/2/12,Clear Water With Other Particles (Use Comments) (QEZ),11694,City-Rockaway Park,14 QUEENS,Borough-QUEENS
4/3/12,Clear Water With Other Particles (Use Comments) (QEZ),11213,City-BROOKLYN,08 BROOKLYN,Borough-BROOKLYN
4/3/12,Cloudy Or Milky Water (QB1),10003,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
4/3/12,unknown odor/taste in drinking water (QA6),11422,City-Rosedale,13 QUEENS,Borough-QUEENS
4/3/12,Other Water Problem (Use Comments) (QZZ),11213,City-BROOKLYN,08 BROOKLYN,Borough-BROOKLYN
4/3/12,Other Water Problem (Use Comments) (QZZ),11210,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
4/3/12,Cloudy Or Milky Water (QB1),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
4/4/12,Clear Water With Other Particles (Use Comments) (QEZ),10463,City-BRONX,08 BRONX,Borough-BRONX
4/5/12,Other Water Problem (Use Comments) (QZZ),10465,City-BRONX,10 BRONX,Borough-BRONX
4/5/12,unknown odor/taste in drinking water (QA6),10307,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
4/6/12,Taste/Odor: Chlorine (QA1),10464,City-BRONX,10 BRONX,Borough-BRONX
4/10/12,Clear Water With Other Particles (Use Comments) (QEZ),11354,City-Flushing,07 QUEENS,Borough-QUEENS
4/11/12,Taste/Odor: Sewer (QA5),10038,City-NEW YORK,01 MANHATTAN,Borough-MANHATTAN
4/12/12,Taste/Odor: Chlorine (QA1),11378,City-Maspeth,05 QUEENS,Borough-QUEENS
1/5/10,Cloudy Or Milky Water (QB1),10305,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
4/16/12,Taste/Odor: Chemical (QA2),11358,City-Flushing,07 QUEENS,Borough-QUEENS
4/16/12,Taste/Odor: Chlorine (QA1),10469,City-BRONX,11 BRONX,Borough-BRONX
4/16/12,Taste/Odor: Bitter/Metallic (QA3),11355,City-Flushing,07 QUEENS,Borough-QUEENS
4/17/12,Taste/Odor: Chemical (QA2),11215,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
4/19/12,Cloudy Or Milky Water (QB1),10030,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
4/20/12,Taste/Odor: Musty/Stale (QA4),10469,City-BRONX,11 BRONX,Borough-BRONX
4/20/12,unknown odor/taste in drinking water (QA6),10305,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
4/20/12,Clear Water With Other Particles (Use Comments) (QEZ),10065,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
4/20/12,Oil: Grease In Water (QD1),10466,City-BRONX,12 BRONX,Borough-BRONX
4/20/12,Taste/Odor: Chlorine (QA1),11419,City-South Richmond Hill,10 QUEENS,Borough-QUEENS
4/22/12,Taste/Odor: Bitter/Metallic (QA3),11238,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
4/22/12,Clear Water With Other Particles (Use Comments) (QEZ),11358,City-Flushing,07 QUEENS,Borough-QUEENS
4/22/12,Taste/Odor: Chlorine (QA1),10035,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
4/23/12,Taste/Odor: Chemical (QA2),11378,City-Maspeth,05 QUEENS,Borough-QUEENS
4/23/12,Taste/Odor: Chemical (QA2),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
4/24/12,Taste/Odor: Chemical (QA2),11378,City-Maspeth,05 QUEENS,Borough-QUEENS
4/24/12,Taste/Odor: Chlorine (QA1),11214,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
4/25/12,Oil: Grease In Water (QD1),10472,City-BRONX,09 BRONX,Borough-BRONX
4/25/12,Taste/Odor: Chemical (QA2),11416,City-Ozone Park,09 QUEENS,Borough-QUEENS
4/25/12,unknown odor/taste in drinking water (QA6),10017,City-NEW YORK,06 MANHATTAN,Borough-MANHATTAN
4/25/12,unknown odor/taste in drinking water (QA6),10467,City-BRONX,12 BRONX,Borough-BRONX
4/25/12,unknown odor/taste in drinking water (QA6),10302,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
4/26/12,Defective Water Sampling Station (QSS),10471,City-BRONX,08 BRONX,Borough-BRONX
4/26/12,Taste/Odor: Sewer (QA5),10469,City-BRONX,12 BRONX,Borough-BRONX
4/27/12,Clear Water With Organisms (Insects: Worms) (QE2),11411,City-Cambria Heights,13 QUEENS,Borough-QUEENS
4/27/12,unknown odor/taste in drinking water (QA6),11216,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
4/28/12,unknown odor/taste in drinking water (QA6),10312,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/1/12,Cloudy Or Milky Water (QB1),11102,City-Astoria,01 QUEENS,Borough-QUEENS
5/1/12,Other Water Problem (Use Comments) (QZZ),11225,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
5/1/12,Cloudy Or Milky Water (QB1),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
5/1/12,Other Water Problem (Use Comments) (QZZ),10019,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
5/2/12,unknown odor/taste in drinking water (QA6),10032,City-NEW YORK,12 MANHATTAN,Borough-MANHATTAN
5/2/12,Taste/Odor: Bitter/Metallic (QA3),11414,City-Howard Beach,10 QUEENS,Borough-QUEENS
5/2/12,Cloudy Or Milky Water (QB1),10035,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
1/25/10,Taste/Odor: Sewer (QA5),11229,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
5/3/12,Cloudy Or Milky: Other (Use Comments) (QBZ),10038,City-NEW YORK,01 MANHATTAN,Borough-MANHATTAN
1/25/10,Taste/Odor: Chemical (QA2),11216,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
1/26/10,Taste/Odor: Sewer (QA5),11224,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
5/4/12,Taste/Odor: Chemical (QA2),11354,City-Flushing,07 QUEENS,Borough-QUEENS
5/7/12,Taste/Odor: Musty/Stale (QA4),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/7/12,Taste/Odor: Sewer (QA5),10314,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
5/8/12,Cloudy Or Milky: Other (Use Comments) (QBZ),10453,City-BRONX,05 BRONX,Borough-BRONX
5/8/12,Taste/Odor: Chlorine (QA1),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
5/9/12,Other Water Problem (Use Comments) (QZZ),10308,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/9/12,Taste/Odor: Chlorine (QA1),11238,City-BROOKLYN,08 BROOKLYN,Borough-BROOKLYN
5/9/12,Clear Water With Other Particles (Use Comments) (QEZ),11201,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
5/9/12,Cloudy Or Milky: Other (Use Comments) (QBZ),10471,City-BRONX,08 BRONX,Borough-BRONX
1/31/10,Taste/Odor: Chlorine (QA1),10309,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/10/12,Cloudy Or Milky Water (QB1),10009,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
5/10/12,Taste/Odor: Chlorine (QA1),10302,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
5/11/12,Taste/Odor: Sewer (QA5),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/11/12,Cloudy Or Milky Water (QB1),10039,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
5/11/12,Cloudy Or Milky Water (QB1),10305,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
5/13/12,Taste/Odor: Sewer (QA5),11229,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
5/14/12,Cloudy Or Milky Water (QB1),11691,City-Far Rockaway,14 QUEENS,Borough-QUEENS
5/14/12,Taste/Odor: Chemical (QA2),10473,City-BRONX,09 BRONX,Borough-BRONX
5/15/12,Taste/Odor: Chemical (QA2),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
5/15/12,Taste/Odor: Musty/Stale (QA4),11373,City-Elmhurst,04 QUEENS,Borough-QUEENS
5/15/12,Cloudy Or Milky Water (QB1),10024,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
5/15/12,Cloudy Or Milky Water (QB1),10016,City-NEW YORK,06 MANHATTAN,Borough-MANHATTAN
5/15/12,Cloudy Or Milky Water (QB1),11207,City-BROOKLYN,04 BROOKLYN,Borough-BROOKLYN
5/16/12,unknown odor/taste in drinking water (QA6),10467,City-BRONX,07 BRONX,Borough-BRONX
5/17/12,unknown odor/taste in drinking water (QA6),11236,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
2/7/10,Cloudy Or Milky Water (QB1),10065,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
5/18/12,unknown odor/taste in drinking water (QA6),10463,City-BRONX,08 BRONX,Borough-BRONX
5/18/12,Clear Water With Other Particles (Use Comments) (QEZ),11367,City-Flushing,08 QUEENS,Borough-QUEENS
5/18/12,Taste/Odor: Chemical (QA2),10458,City-BRONX,06 BRONX,Borough-BRONX
5/19/12,unknown odor/taste in drinking water (QA6),11219,City-BROOKLYN,10 BROOKLYN,Borough-BROOKLYN
5/21/12,unknown odor/taste in drinking water (QA6),11237,City-BROOKLYN,04 BROOKLYN,Borough-BROOKLYN
5/21/12,Defective Water Sampling Station (QSS),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/21/12,unknown odor/taste in drinking water (QA6),10011,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
5/22/12,Cloudy Or Milky Water (QB1),10457,City-BRONX,06 BRONX,Borough-BRONX
5/22/12,Other Water Problem (Use Comments) (QZZ),11206,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
5/23/12,Taste/Odor: Musty/Stale (QA4),10314,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
5/23/12,Cloudy Or Milky Water (QB1),10309,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/24/12,Clear Water With Other Particles (Use Comments) (QEZ),10028,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
5/25/12,Cloudy Or Milky Water (QB1),10460,City-BRONX,06 BRONX,Borough-BRONX
5/25/12,Cloudy Or Milky Water (QB1),10469,City-BRONX,12 BRONX,Borough-BRONX
5/25/12,unknown odor/taste in drinking water (QA6),10003,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
5/27/12,Cloudy Or Milky Water (QB1),10457,City-BRONX,05 BRONX,Borough-BRONX
5/27/12,Cloudy Or Milky Water (QB1),10039,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
5/27/12,Taste/Odor: Bitter/Metallic (QA3),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/27/12,Clear Water With Other Particles (Use Comments) (QEZ),10468,City-BRONX,08 BRONX,Borough-BRONX
5/27/12,Cloudy Or Milky Water (QB1),11221,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
5/27/12,Cloudy Or Milky Water (QB1),10467,City-BRONX,07 BRONX,Borough-BRONX
5/27/12,Cloudy Or Milky Water (QB1),10037,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
5/27/12,Cloudy Or Milky Water (QB1),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
5/27/12,Cloudy Or Milky Water (QB1),10040,City-NEW YORK,12 MANHATTAN,Borough-MANHATTAN
5/28/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11231,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
5/28/12,Cloudy Or Milky Water (QB1),11354,City-Flushing,07 QUEENS,Borough-QUEENS
5/11/12,Cloudy Or Milky Water (QB1),11236,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
5/28/12,Cloudy Or Milky Water (QB1),10463,City-BRONX,08 BRONX,Borough-BRONX
5/28/12,Cloudy Or Milky Water (QB1),11206,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky Water (QB1),10457,City-BRONX,06 BRONX,Borough-BRONX
5/29/12,Cloudy Or Milky Water (QB1),11368,City-Corona,04 QUEENS,Borough-QUEENS
5/29/12,Cloudy Or Milky Water (QB1),11368,City-Corona,03 QUEENS,Borough-QUEENS
5/29/12,Cloudy Or Milky Water (QB1),11236,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky Water (QB1),11436,City-Jamaica,12 QUEENS,Borough-QUEENS
5/29/12,Cloudy Or Milky Water (QB1),10463,City-BRONX,08 BRONX,Borough-BRONX
5/29/12,Cloudy Or Milky Water (QB1),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky Water (QB1),11207,City-BROOKLYN,04 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11235,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky Water (QB1),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky Water (QB1),11415,City-Kew Gardens,09 QUEENS,Borough-QUEENS
5/29/12,Cloudy Or Milky Water (QB1),10040,City-NEW YORK,12 MANHATTAN,Borough-MANHATTAN
5/29/12,Cloudy Or Milky Water (QB1),11210,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/29/12,Taste/Odor: Musty/Stale (QA4),10021,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
5/29/12,Cloudy Or Milky Water (QB1),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
5/29/12,Cloudy Or Milky Water (QB1),11367,City-Flushing,08 QUEENS,Borough-QUEENS
5/29/12,Clear Water With Other Particles (Use Comments) (QEZ),10473,City-BRONX,09 BRONX,Borough-BRONX
5/29/12,Cloudy Or Milky Water (QB1),11218,City-BROOKLYN,12 BROOKLYN,Borough-BROOKLYN
5/29/12,Cloudy Or Milky Water (QB1),10462,City-BRONX,11 BRONX,Borough-BRONX
5/29/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11378,City-Maspeth,05 QUEENS,Borough-QUEENS
5/30/12,Cloudy Or Milky Water (QB1),10451,City-BRONX,01 BRONX,Borough-BRONX
5/30/12,Cloudy Or Milky Water (QB1),10471,City-BRONX,08 BRONX,Borough-BRONX
5/30/12,Cloudy Or Milky Water (QB1),11105,City-Astoria,01 QUEENS,Borough-QUEENS
5/30/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11368,City-Corona,04 QUEENS,Borough-QUEENS
5/30/12,Cloudy Or Milky Water (QB1),11416,City-Ozone Park,09 QUEENS,Borough-QUEENS
5/30/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11214,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
5/30/12,Cloudy Or Milky Water (QB1),11367,City-Flushing,08 QUEENS,Borough-QUEENS
5/30/12,Cloudy Or Milky Water (QB1),10456,City-BRONX,04 BRONX,Borough-BRONX
5/30/12,Cloudy Or Milky Water (QB1),11413,City-Springfield Gardens,13 QUEENS,Borough-QUEENS
5/30/12,Cloudy Or Milky Water (QB1),10021,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
5/30/12,Cloudy Or Milky Water (QB1),10031,City-NEW YORK,09 MANHATTAN,Borough-MANHATTAN
4/8/10,Other Water Problem (Use Comments) (QZZ),11229,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
8/1/12,Clear Water With Other Particles (Use Comments) (QEZ),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
4/13/10,Clear Water With Other Particles (Use Comments) (QEZ),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
11/8/16,No Sampling Required: Requested Information (QG2),10472,City-BRONX,09 BRONX,Borough-BRONX
4/29/10,Taste/Odor: Chemical (QA2),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
